file_name,file_path,predicted_type,file_extension,confidence,is_suspicious,status
0e21835a42a6df2405496f62647058ff855743c1.csv,test_folder/modified\PDF\0e21835a42a6df2405496f62647058ff855743c1.csv,pdf,csv,1.0,True,🚨 SUSPICIOUS
11613a97cef51ad28635fdd86915e74d94cff227.docx,test_folder/modified\PDF\11613a97cef51ad28635fdd86915e74d94cff227.docx,pdf,docx,0.95,True,🚨 SUSPICIOUS
201ab28823c4a10ca391e800642e9cf381737ed2.docx,test_folder/modified\PDF\201ab28823c4a10ca391e800642e9cf381737ed2.docx,pdf,docx,0.99,True,🚨 SUSPICIOUS
281928eff64137efdd144a833c81ad0ee45284c1.pdf,test_folder/modified\PDF\281928eff64137efdd144a833c81ad0ee45284c1.pdf,pdf,pdf,1.0,False,✅ SAFE
2A2C2V4WI5YRDJHR26XUD4IAULIYGTMA.gif,test_folder/modified\PDF\2A2C2V4WI5YRDJHR26XUD4IAULIYGTMA.gif,pdf,gif,1.0,True,🚨 SUSPICIOUS
2ED27NR7CISW7J4PHXXBZ6OFPVDFHMFB.pdf,test_folder/modified\PDF\2ED27NR7CISW7J4PHXXBZ6OFPVDFHMFB.pdf,pdf,pdf,0.99,False,✅ SAFE
2FDPTMT2NZDE6RIJSZZXGBMD7LYL7YHV.docx,test_folder/modified\PDF\2FDPTMT2NZDE6RIJSZZXGBMD7LYL7YHV.docx,pdf,docx,1.0,True,🚨 SUSPICIOUS
2GFKZ3FSJWFKVKALUPEYHSLSHEJ3OGA6.mp3,test_folder/modified\PDF\2GFKZ3FSJWFKVKALUPEYHSLSHEJ3OGA6.mp3,pdf,mp3,0.99,True,🚨 SUSPICIOUS
2KH4X5DOMVDC44GAIAFOCYEKJMXGQH4T.png,test_folder/modified\PDF\2KH4X5DOMVDC44GAIAFOCYEKJMXGQH4T.png,pdf,png,1.0,True,🚨 SUSPICIOUS
2KQDEYIMQDVT2DUARRCJV5HEUYY2HO7H.pdf,test_folder/modified\PDF\2KQDEYIMQDVT2DUARRCJV5HEUYY2HO7H.pdf,pdf,pdf,1.0,False,✅ SAFE
2LVOKCURIEQKLK43I6T7QLYYQX3RQUXX.jpg,test_folder/modified\PDF\2LVOKCURIEQKLK43I6T7QLYYQX3RQUXX.jpg,pdf,jpg,1.0,True,🚨 SUSPICIOUS
2QWDF5JK4N7WQ4NQRZRLF4CYOUF32WTR.csv,test_folder/modified\PDF\2QWDF5JK4N7WQ4NQRZRLF4CYOUF32WTR.csv,pdf,csv,1.0,True,🚨 SUSPICIOUS
2S672A3DIW3E7MHKG25AHSCC7GP5IWSS.zip,test_folder/modified\PDF\2S672A3DIW3E7MHKG25AHSCC7GP5IWSS.zip,pdf,zip,1.0,True,🚨 SUSPICIOUS
2SFC5QHEHUKZAZANWGTNYNCLR6KHKDS2.jpg,test_folder/modified\PDF\2SFC5QHEHUKZAZANWGTNYNCLR6KHKDS2.jpg,pdf,jpg,0.99,True,🚨 SUSPICIOUS
2XP6SY3BBU24ICI4JSHCLNQKAKGVMMPG.pdf,test_folder/modified\PDF\2XP6SY3BBU24ICI4JSHCLNQKAKGVMMPG.pdf,pdf,pdf,1.0,False,✅ SAFE
2ZJG56HD3YEZGEQZL4RFOYNIMTZISHDX.docx,test_folder/modified\PDF\2ZJG56HD3YEZGEQZL4RFOYNIMTZISHDX.docx,pdf,docx,0.94,True,🚨 SUSPICIOUS
35CQZCOMND26DXY46FVVS47WB2AL75OK.docx,test_folder/modified\PDF\35CQZCOMND26DXY46FVVS47WB2AL75OK.docx,pdf,docx,1.0,True,🚨 SUSPICIOUS
35DKLURQRIKJHCGH3IP5TO2BTAOV4CBN.pdf,test_folder/modified\PDF\35DKLURQRIKJHCGH3IP5TO2BTAOV4CBN.pdf,pdf,pdf,1.0,False,✅ SAFE
37RZ6AARR76UDY2JH4LRVGQBIPYUQ2A2.jpg,test_folder/modified\PDF\37RZ6AARR76UDY2JH4LRVGQBIPYUQ2A2.jpg,pdf,jpg,1.0,True,🚨 SUSPICIOUS
3EG2SKQ4OJ5RGGAPXC4LPRAYJJJNH2XO.json,test_folder/modified\PDF\3EG2SKQ4OJ5RGGAPXC4LPRAYJJJNH2XO.json,pdf,json,1.0,True,🚨 SUSPICIOUS
3fd6a0981cec7cf21e133249fea7e0e4474ec88d.mp3,test_folder/modified\PDF\3fd6a0981cec7cf21e133249fea7e0e4474ec88d.mp3,pdf,mp3,1.0,True,🚨 SUSPICIOUS
3HATKPN6TVEYUNQ6PK5MYH6VA6VX6ECE.pdf,test_folder/modified\PDF\3HATKPN6TVEYUNQ6PK5MYH6VA6VX6ECE.pdf,pdf,pdf,0.99,False,✅ SAFE
3KYS5FP4VPQMHQKSV6PY3UOXQILNMOPO.zip,test_folder/modified\PDF\3KYS5FP4VPQMHQKSV6PY3UOXQILNMOPO.zip,pdf,zip,0.98,True,🚨 SUSPICIOUS
3P5D3UKXU2R6I2TK4OJSLL6LGIQJ4NY5.docx,test_folder/modified\PDF\3P5D3UKXU2R6I2TK4OJSLL6LGIQJ4NY5.docx,pdf,docx,0.99,True,🚨 SUSPICIOUS
3PILGMQ4BBDRSLAPZCPVAHBNX53K2NUJ.exe,test_folder/modified\PDF\3PILGMQ4BBDRSLAPZCPVAHBNX53K2NUJ.exe,pdf,exe,1.0,True,🚨 SUSPICIOUS
3SX4ZUITX7U6NVFXAEJBBJXEQ76IJFKV.pdf,test_folder/modified\PDF\3SX4ZUITX7U6NVFXAEJBBJXEQ76IJFKV.pdf,pdf,pdf,1.0,False,✅ SAFE
3WVRGDKMXZRPVBBNRYOLXY3J3VIZROXI.mp3,test_folder/modified\PDF\3WVRGDKMXZRPVBBNRYOLXY3J3VIZROXI.mp3,pdf,mp3,1.0,True,🚨 SUSPICIOUS
44PBM3B5SUUOF74NERNZAUH2PBBU5SPB.csv,test_folder/modified\PDF\44PBM3B5SUUOF74NERNZAUH2PBBU5SPB.csv,pdf,csv,0.92,True,🚨 SUSPICIOUS
46KXLWATPXX7EE6CIIN3H4KUPVN3RX75.mp3,test_folder/modified\PDF\46KXLWATPXX7EE6CIIN3H4KUPVN3RX75.mp3,pdf,mp3,1.0,True,🚨 SUSPICIOUS
46QMULSFORX2CQ75FYZAEACXSD7AJKPG.gif,test_folder/modified\PDF\46QMULSFORX2CQ75FYZAEACXSD7AJKPG.gif,pdf,gif,0.99,True,🚨 SUSPICIOUS
4BYJ3SJ7LQLUQONSHK7CN7NJFWKW62CX.docx,test_folder/modified\PDF\4BYJ3SJ7LQLUQONSHK7CN7NJFWKW62CX.docx,pdf,docx,1.0,True,🚨 SUSPICIOUS
4J72NV3NRCPTITE2IIE2CG2NMBSSLM67.pdf,test_folder/modified\PDF\4J72NV3NRCPTITE2IIE2CG2NMBSSLM67.pdf,pdf,pdf,1.0,False,✅ SAFE
4JIOYSGO26FIUJU47G4MCVYSZUGX7EAE.csv,test_folder/modified\PDF\4JIOYSGO26FIUJU47G4MCVYSZUGX7EAE.csv,pdf,csv,1.0,True,🚨 SUSPICIOUS
4LRW52I7I5ZTB2VO2BGAW4YQUNGJXAP2.pdf,test_folder/modified\PDF\4LRW52I7I5ZTB2VO2BGAW4YQUNGJXAP2.pdf,pdf,pdf,1.0,False,✅ SAFE
4NULTK4K27CEH4E6TCVCEHXAWVJJMWSX.pdf,test_folder/modified\PDF\4NULTK4K27CEH4E6TCVCEHXAWVJJMWSX.pdf,pdf,pdf,1.0,False,✅ SAFE
53MPVZWCXMT55PDT4CQCJ2MN5JAKIAGV.gif,test_folder/modified\PDF\53MPVZWCXMT55PDT4CQCJ2MN5JAKIAGV.gif,pdf,gif,1.0,True,🚨 SUSPICIOUS
5CCWTN5UI7YVM55N2H5CXFYZ44PMKUB4.json,test_folder/modified\PDF\5CCWTN5UI7YVM55N2H5CXFYZ44PMKUB4.json,pdf,json,1.0,True,🚨 SUSPICIOUS
5DRAZXKISWU5KHFNDUABKC7KUKS6IXDK.pdf,test_folder/modified\PDF\5DRAZXKISWU5KHFNDUABKC7KUKS6IXDK.pdf,pdf,pdf,1.0,False,✅ SAFE
5EAVIV25ANDVUI4BBJQE6S5KDAECENZZ.pdf,test_folder/modified\PDF\5EAVIV25ANDVUI4BBJQE6S5KDAECENZZ.pdf,pdf,pdf,1.0,False,✅ SAFE
5f1daaa6087c0d2d803b23997270dc8d79a1eb40.gif,test_folder/modified\PDF\5f1daaa6087c0d2d803b23997270dc8d79a1eb40.gif,pdf,gif,1.0,True,🚨 SUSPICIOUS
5IXFUAXPIWSNS4I6KSOJCGHEFEEBY5IE.json,test_folder/modified\PDF\5IXFUAXPIWSNS4I6KSOJCGHEFEEBY5IE.json,pdf,json,1.0,True,🚨 SUSPICIOUS
5JEF6INEQSUEH2KKAOO5NNONLBEXWTXI.mp3,test_folder/modified\PDF\5JEF6INEQSUEH2KKAOO5NNONLBEXWTXI.mp3,pdf,mp3,1.0,True,🚨 SUSPICIOUS
5M56W5BE4HY6J3WK2TN3HZJ6N3ZMYTJ4.zip,test_folder/modified\PDF\5M56W5BE4HY6J3WK2TN3HZJ6N3ZMYTJ4.zip,pdf,zip,1.0,True,🚨 SUSPICIOUS
5PFVA6CO2FP66IJYJJ4YMWOLK5EHRCCD.png,test_folder/modified\PDF\5PFVA6CO2FP66IJYJJ4YMWOLK5EHRCCD.png,pdf,png,1.0,True,🚨 SUSPICIOUS
5SMHFLT35YOIS6UTY6OKBZYRZSTDMG2Q.jpg,test_folder/modified\PDF\5SMHFLT35YOIS6UTY6OKBZYRZSTDMG2Q.jpg,pdf,jpg,1.0,True,🚨 SUSPICIOUS
5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.gif,test_folder/modified\PDF\5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.gif,pdf,gif,1.0,True,🚨 SUSPICIOUS
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV.jpg,test_folder/modified\PDF\65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV.jpg,pdf,jpg,1.0,True,🚨 SUSPICIOUS
65WL52OJL3MDCHS3SWEUYFWBO5W23F2M.png,test_folder/modified\PDF\65WL52OJL3MDCHS3SWEUYFWBO5W23F2M.png,pdf,png,0.99,True,🚨 SUSPICIOUS
6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.wav,test_folder/modified\PDF\6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.wav,pdf,wav,1.0,True,🚨 SUSPICIOUS
6a72e705ce8cec9c77d24212eed6962d99a2883d.pdf,test_folder/modified\PDF\6a72e705ce8cec9c77d24212eed6962d99a2883d.pdf,pdf,pdf,0.91,False,✅ SAFE
